"relevance","qid","tf","idf","length","bm25","pagerank","inlink","outlink","slash","urlLength","childPage"
0,"11909",0.048537,0,0.054362,0,0,0,0,0.208262,0.089286,1
0,"11909",0,0,0,0,0,0.08,0,0,0,0
0,"11909",0.014989,0,0.005346,1,1,1,0,1,1,0.166667
1,"11909",0.04818,0,0.016753,0,1,0.253333,0,0.040667,0.017857,0
2,"11909",0.254818,0,0.135242,0.615723,0.333333,0.253333,0,0.004727,0.017857,0.527778
0,"11909",0.009279,0,0.007146,0.500362,0.333333,0.466667,0,0.187273,0.303571,0.833333
0,"11909",0.062099,0,0.067171,0.463787,0.666667,0.413333,0,0.37746,0.035714,0
2,"11909",1,0,1,0,0.666667,0.48,0,0.020984,0.017857,0
0,"12025",0.011062,0,0.115979,0,0.75,1,0,0.316133,0.333333,0.068182
0,"12025",0.00885,0,0.044919,0,1,0.90625,0,0.081874,0.333333,1
2,"12025",0.095133,0,0.111929,1,0,0,0,1,0.666667,0
0,"12025",0,0,0,0,0.25,0.21875,0,0.745816,0.666667,0.090909
0,"12025",0,0,0.015832,0,0.5,0.5625,0,0,0,0
0,"12025",1,0,1,0,0.25,0,0,0,0,0
1,"12025",0.316372,0,0.864875,0,0.25,0.875,0,0.245735,1,0
2,"12056",0.977778,0,0.022732,1,0.666667,0.219298,0,0.367563,1,1
0,"12056",0.266667,0,0.007218,0.527786,0.666667,0.219298,0,0.031061,0.1,0.4
1,"12056",0.555556,0,0.032963,0,0.333333,0.087719,0,1,0.4,0.285714
0,"12056",1,0,1,0,0,0,0,0.582172,0.5,0.171429
1,"12056",0.844444,0,0.053834,0,1,0.649123,0,0.002705,0.1,0
0,"12056",0,0,0,0,1,0.368421,0,0,0,0
1,"12056",0.866667,0,0.030358,0,0.333333,1,0,0.076234,0.1,0
0,"12056",0.177778,0,0.053908,0,0.666667,0.578947,0,0,0,0
0,"12080",0.074946,0,0.031757,0.771323,0.25,0.489362,0,0.335971,0.003521,0.237179
0,"12080",0.034261,0,0.011748,1,0.25,0.489362,0,0.907984,0.535211,0.237179
0,"12080",0.501071,0,0.12636,0,0,0.638298,0,1,1,1
0,"12080",0.423983,0,0.52206,0,0,0.042553,0,0.000677,0.001174,0
0,"12080",0.09636,0,0.046891,0,0,0.765957,0,0,0,0.032051
0,"12080",0,0,0,0,0.25,0.404255,0,0,0,0
0,"12080",0.010707,0,0.008516,0,1,1,0,0.000951,0.001174,0.064103
0,"12080",0.034261,0,0.067412,0,0,0.170213,0,0.000801,0.001174,0.025641
0,"12080",0.094218,0,0.068644,0,0.75,0.531915,0,0.003828,0.001174,0.019231
0,"12080",0.025696,0,0.012569,0,1,0.978723,0,0.007276,0.002347,0.019231
0,"12080",0.089936,0,0.052688,0,0,0.297872,0,0.057788,0.016432,0.089744
0,"12080",0.188437,0,0.059973,0,0,0.234043,0,0.011062,0.001174,0.070513
0,"12080",0.036403,0,0.009029,0,0.25,0.276596,0,0,0,0
0,"12080",0.017131,0,0.010979,0,1,0.957447,0,0.007276,0.002347,0.019231
0,"12080",0.119914,0,0.070952,0,0.5,0,0,0.003757,0.001174,0.032051
0,"12080",0.066381,0,0.101478,0,0,0.340426,0,0.031506,0.028169,0.153846
1,"12080",0.059957,0,0.015904,0,0.25,0.234043,0,0,0,0
0,"12080",0.535332,0,0.813462,0,0.5,0.489362,0,0.000102,0.001174,0
0,"12080",0.351178,0,0.175918,0,0.25,0.425532,0,0.005227,0.001174,0.179487
0,"12080",0.044968,0,0.016981,0,0.25,0.234043,0,0,0,0
0,"12080",0.154176,0,0.067412,0,0.25,0.234043,0,0,0,0
0,"12080",0.411135,0,0.252206,0.883564,0,0.340426,0,0.001148,0.001174,0
0,"12080",0.049251,0,0.017392,0,0.25,0.234043,0,0,0,0
0,"12080",1,0,0.287092,0,0,0.276596,0,0.051926,0.00939,0.198718
0,"12080",0.085653,0,0.054381,0,0.25,0.191489,0,0,0,0
0,"12080",0.034261,0,0.018059,0,0.25,0.404255,0,0.002345,0.001174,0
0,"12080",0.252677,0,0.184845,0,0.25,0.489362,0,0.000704,0.001174,0
2,"12080",0.421842,0,0.253745,0,0.25,0.148936,0,0,0,0
0,"12080",0.077088,0,0.029602,0,0.25,0.234043,0,0,0,0
0,"12080",0.304069,0,1,0,0.5,0.914894,0,0.004476,0.001174,0
1,"12103",0.037437,0,0.020683,0,0,0,0,0.012319,0.333333,0.666667
1,"12103",0.072173,0,0.050366,0.143324,0.333333,0.346154,0,0.023352,0.166667,0.166667
0,"12103",0.015438,0,0.008011,1,0.333333,0.346154,0,1,1,1
2,"12103",0.065226,0,0.03022,0,0.666667,0.923077,0,0.166783,0.166667,0.333333
0,"12103",0.001158,0,0,0.82509,1,0.807692,0,0.097385,0.333333,0.166667
0,"12103",0,0,0.000859,0,0.666667,1,0,0,0,0
2,"12103",1,0,1,0,0.666667,0.615385,0,0.091959,0.166667,0
1,"12103",0.025473,0,0.012608,0.226748,0.666667,0.807692,0,0.067061,0.166667,0.333333
0,"12145",0.024019,0,0.029903,0,0,0,0,0.895923,0.038217,0.081633
2,"12145",0.148213,0,0.075022,0.497639,0,0.169231,0,0.004293,0.012739,0.020408
0,"12145",0.002929,0,0.006219,0,0.166667,0.092308,0,0.128665,0.006369,0.020408
0,"12145",0.105448,0,0.052423,0,0.333333,0.246154,0,0.425202,0.152866,0.489796
0,"12145",0.0744,0,0.079388,0,0.666667,0.523077,0,0.00179,0.012739,0
0,"12145",0.001172,0,0.00082,0,1,0.784615,0,0.069193,0.012739,0.081633
0,"12145",0.019332,0,0.013417,1,0.666667,0.307692,0,1,1,1
0,"12145",0.011131,0,0.009632,0.738715,0.333333,0.246154,0,0.367299,0.050955,0.061224
0,"12145",0,0,0,0,0.833333,0.523077,0,0,0,0.040816
0,"12145",0.044523,0,0.057371,0,0.666667,0.784615,0,0.020405,0.006369,0
0,"12145",0.035149,0,0.0208,0,0.666667,1,0,0.004857,0.006369,0
0,"12145",0.998828,0,0.981688,0,0.5,0.553846,0,0.004838,0.006369,0
0,"12145",1,0,1,0,0.5,0.538462,0,0.004469,0.006369,0
0,"12145",0.00703,0,0.00643,0,0.333333,0.4,0,0.00077,0.019108,0
0,"12165",0.004395,0,0.007335,0,0.166667,0.164835,0,0.44753,0.007933,0.136364
0,"12165",0.018777,0,0.029844,0,0.333333,0.351648,0,4.3e-05,0.000191,0.073864
0,"12165",0.002996,0,0.00036,0,0.333333,0.274725,0,0.007139,0.00086,0
0,"12165",0.039153,0,0.017882,0.383073,0,0.054945,0,0.973513,1,0.045455
0,"12165",0.028566,0,0.031642,0,0.166667,0.296703,0,0.000202,0.000287,0.0625
0,"12165",0.006792,0,0.008869,0,0.166667,0.054945,0,1,0.986045,0.147727
0,"12165",0.00799,0,0.022701,0,0.333333,0.120879,0,0.001731,0.002198,0.119318
0,"12165",0.021774,0,0.023923,0,0.166667,0.274725,0,0.001404,9.6e-05,0.068182
0,"12165",0.005394,0,0.003859,0,0.166667,0.098901,0,0.002011,0.007838,0.198864
0,"12165",0.002996,0,0.00024,0,0.333333,0.340659,0,0,0,0
0,"12165",0.006592,0,0.004027,0,0.166667,0.098901,0,0.001447,0.004875,0.1875
0,"12165",0.00839,0,0.004075,0.309677,0.166667,0.076923,0,0.001557,0.005544,0.164773
0,"12165",0.006193,0,0.006185,0,0.333333,0.274725,0,0.000284,0.000287,0.176136
1,"12165",0.005593,0,0.005489,0,0,0.021978,0,0.005346,0.022653,0.284091
0,"12165",0.005394,0,0.004219,0,0.166667,0.087912,0,0.001444,0.004875,0.176136
0,"12165",0.047743,0,0.040895,0,0.5,0.21978,0,0,0,0.022727
1,"12165",0.013783,0,0.010763,0.68768,0,0,0,0.005349,0.022845,0.443182
0,"12165",0.009189,0,0.008773,0,0.333333,0.241758,0,0.00018,0.000382,0.170455
0,"12165",0.008989,0,0.005633,0.428334,0.166667,0.098901,0,0.001201,0.00411,0.153409
0,"12165",0.007391,0,0.004411,0,0.333333,0.252747,0,4.5e-05,9.6e-05,0.164773
0,"12165",0.004594,0,0.003692,0,0.833333,0.516484,0,0.000353,0.000191,0.017045
0,"12165",0.010587,0,0.006976,0.211775,0.333333,0.252747,0,6.2e-05,0.000191,0.170455
0,"12165",0.003396,0,0.00024,0,0.166667,0.065934,0,0,0,0
0,"12165",0.002996,0,2.4e-05,0,0.166667,0.054945,0,0,0,0
0,"12165",0.007191,0,0.003452,0.247536,0.166667,0.164835,0,0.000516,0.000765,0.147727
0,"12165",0.002996,0,0.00024,0,0.333333,0.208791,0,0,0,0
0,"12165",0.007791,0,0.006784,0,0.166667,0.197802,0,0.000232,0.001147,0.130682
0,"12165",0.00839,0,0.007287,0.156126,0.166667,0.087912,0,0.000227,0.000669,0.193182
0,"12165",0.002996,0,0.000216,0,0.333333,0.285714,0,2e-05,9.6e-05,0
0,"12165",0.002996,0,0.000479,0,0.333333,0.208791,0,4.6e-05,9.6e-05,0
0,"12165",0.002996,0,0.00024,0,0.333333,0.175824,0,0,0,0
0,"12165",0.009988,0,0.006664,0.204974,0.333333,0.252747,0,0.00011,0.000287,0.136364
0,"12165",0.002996,0,0.000623,0,0.333333,0.197802,0,7.2e-05,0.000287,0
0,"12165",0.002996,0,0.00024,0,0.333333,0.230769,0,0,0,0
0,"12165",0.00859,0,0.007167,0,0.166667,0.087912,0,0.000222,0.000574,0.181818
0,"12165",0.002996,0,0.00024,0,0.333333,0.263736,0,0,0,0
0,"12165",0.002996,0,0.00024,0,0.333333,0.21978,0,0,0,0
0,"12165",0.008989,0,0.006017,0,0.333333,0.307692,0,8.2e-05,0.000478,0.102273
0,"12165",0.004994,0,0.002445,0,0.333333,0.274725,0,2e-05,9.6e-05,0.125
0,"12165",0.002996,0,0.000264,0,0.333333,0.208791,0,0,0,0
0,"12165",0.007791,0,0.011362,0,0.333333,0.230769,0,0.001338,9.6e-05,0.005682
0,"12165",0.004994,0,0.002469,0,0.166667,0.065934,0,0.00082,0.004779,0.1875
0,"12165",0.006392,0,0.002541,0.185616,0.333333,0.197802,0,1.9e-05,9.6e-05,0.119318
0,"12165",0.008989,0,0.00477,0.258997,0.333333,0.197802,0,4.2e-05,9.6e-05,0.164773
0,"12165",0.006792,0,0.003859,0,0.333333,0.175824,0,4.2e-05,9.6e-05,0.153409
0,"12165",0.009389,0,0.00815,0,0.166667,0.208791,0,0.000215,0.000382,0.028409
0,"12165",0.248502,0,0.254381,0,0.333333,0.164835,0,0.000313,0.000191,0
0,"12165",0.006392,0,0.006832,0,0.166667,0.186813,0,0.000214,0.000191,0.022727
0,"12165",0.00799,0,0.007359,0,0.166667,0.087912,0,2.7e-05,9.6e-05,0.198864
0,"12165",0.00819,0,0.005202,0,0.333333,0.252747,0,1e-05,9.6e-05,0.176136
0,"12165",0.015382,0,0.031666,0,0.166667,0.131868,0,1.9e-05,9.6e-05,0
0,"12165",0.025769,0,0.046,0,0.166667,0.131868,0,1.9e-05,9.6e-05,0
0,"12165",0.008789,0,0.007479,0,0.166667,0.087912,0,9.5e-05,0.000382,0.181818
0,"12165",0.009588,0,0.007,0.163145,0.166667,0.087912,0,0.000112,0.000574,0.193182
0,"12165",0.007591,0,0.006544,0,0.166667,0.087912,0,9.8e-05,0.000382,0.181818
0,"12165",0.006792,0,0.004027,0,0.166667,0.087912,0,9.8e-05,0.000382,0.181818
0,"12165",0.006792,0,0.002853,0,0.333333,0.285714,0,3.1e-05,0.000191,0.102273
0,"12165",0.144826,0,0.106647,0,0,0.065934,0,9e-04,0.000478,0.045455
0,"12165",0.34159,0,0.266222,0.329351,0.833333,0.362637,0,6.7e-05,0.000191,0
0,"12165",0.009988,0,0.005705,0,0.166667,0.087912,0,6.4e-05,0.000287,0.1875
0,"12165",0.00859,0,0.004578,0,0.333333,0.373626,0,4.5e-05,9.6e-05,0.130682
0,"12165",0.005593,0,0.003044,0,0.333333,0.230769,0,0.000126,0.001338,0.238636
0,"12165",0.005593,0,0.003188,0,0.333333,0.230769,0,0.000126,0.001338,0.238636
0,"12165",0.005394,0,0.00338,0,0.333333,0.230769,0,0.000126,0.001338,0.238636
0,"12165",0.001598,0,0.00501,0,0.166667,0.186813,0,6e-05,9.6e-05,0.017045
0,"12165",0.001199,0,0.002685,0,0.166667,0.186813,0,6e-05,9.6e-05,0.011364
0,"12165",0.302038,0,0.223794,0.5152,0.666667,0.274725,0,3.3e-05,0.000191,0
0,"12165",0.002797,0,0.00338,0,0.333333,0.21978,0,0.000151,0.000191,0.022727
0,"12165",0.002996,0,0.00024,0,0.333333,0.208791,0,8e-06,9.6e-05,0
0,"12165",0.002996,0,0.00024,0,0.333333,0.230769,0,0,0,0
0,"12165",0.044746,0,0.024882,0.841104,0.333333,0.395604,0,0.000138,0.000191,0.011364
0,"12165",0.004594,0,0.002205,0.259493,0.333333,0.32967,0,0.001191,0.000478,0.011364
0,"12165",0.006193,0,0.003284,0.351687,0.333333,0.351648,0,1.8e-05,0.000191,0.159091
0,"12165",0.005593,0,0.003068,0,0.333333,0.230769,0,0.000126,0.001338,0.238636
0,"12165",0.00839,0,0.004219,0.428334,0.333333,0.230769,0,3.1e-05,0.000191,0.102273
0,"12165",0.002597,0,7.2e-05,1,1,0.659341,0,6e-06,9.6e-05,0
0,"12165",0.013783,0,0.012777,0,0.333333,0.197802,0,4e-05,9.6e-05,0.153409
0,"12165",0.002597,0,7.2e-05,1,1,0.659341,0,7e-06,9.6e-05,0
0,"12165",0.020575,0,0.025649,0,0.166667,0.142857,0,1.9e-05,0.000191,0.051136
0,"12165",0.009988,0,0.0169,0.295234,0.5,0.296703,0,0.003422,0.012139,0.193182
0,"12165",0.002597,0,7.2e-05,1,1,0.659341,0,7e-06,9.6e-05,0
0,"12165",0.183979,0,0.195196,0,0.833333,0.395604,0,3.3e-05,0.000191,0.085227
0,"12165",0.001798,0,0,0,1,0.659341,0,0,0,0
0,"12165",0.002597,0,7.2e-05,1,1,0.659341,0,7e-06,9.6e-05,0
0,"12165",0.031163,0,0.040775,0.124719,0.833333,0.428571,0,2.9e-05,0.000191,0.073864
0,"12165",0.002597,0,7.2e-05,1,1,0.659341,0,7e-06,9.6e-05,0
0,"12165",0.011187,0,0.011123,0,0.666667,1,0,4e-06,9.6e-05,0
0,"12165",0.017978,0,0.046911,0,0.833333,0.505495,0,1e-06,9.6e-05,0.125
0,"12165",0.012585,0,0.020759,0.309112,0.166667,0.087912,0,0.017326,0.018257,0.693182
0,"12165",0.008989,0,0.019249,0,0.166667,0.175824,0,0.053382,0.048557,1
0,"12165",0.954255,0,0.995326,0,0.666667,0.32967,0,0.000297,9.6e-05,0
0,"12165",0.619856,0,0.60956,0,0.5,0.318681,0,2.6e-05,9.6e-05,0
0,"12165",0.629844,0,0.693746,0.318451,0,0.087912,0,9.3e-05,0.000382,0
0,"12165",0.682381,0,0.687945,0,0.333333,0.21978,0,1e-05,9.6e-05,0
0,"12165",1,0,0.99034,0,0.5,0.703297,0,5e-06,9.6e-05,0
0,"12165",0.01678,0,0.016324,0,1,0.417582,0,0.000432,0.000191,0
0,"12165",0.125649,0,0.133351,0,0.5,0.428571,0,1e-06,9.6e-05,0
0,"12165",0.002397,0,0.001007,0.852047,0.333333,0.241758,0,0.000252,0.000382,0.022727
0,"12165",0.038753,0,0.069588,0,0,0.186813,0,0.000373,0.001051,0.125
0,"12165",0,0,0,0,0.833333,0.648352,0,0.000135,9.6e-05,0
0,"12165",0.10028,0,0.098809,0.959547,0.5,0.164835,0,1.6e-05,9.6e-05,0
0,"12165",0.684978,0,0.435842,0,0.166667,0.131868,0,0.000121,9.6e-05,0
0,"12165",0.364762,0,0.471391,0,0.166667,0.263736,0,1.7e-05,9.6e-05,0
0,"12165",0.195366,0,0.181341,0,1,0.417582,0,6.9e-05,9.6e-05,0
0,"12165",0.053736,0,0.035142,0.18016,0.5,0.285714,0,3.7e-05,0.000191,0
0,"12165",0.186576,0,0.629528,0,0.5,0.274725,0,3.7e-05,0.000191,0
0,"12165",0.93348,0,0.657454,0,0.5,0.175824,0,1.9e-05,9.6e-05,0
0,"12165",0.030364,0,0.010116,0,0.5,0.450549,0,0,0,0
0,"12165",0.564523,0,1,0,0.333333,0.472527,0,9e-05,0.000191,0
0,"12165",0.146824,0,0.163986,0,0.5,0.483516,0,2.2e-05,9.6e-05,0
0,"12165",0.228526,0,0.171992,0,0.166667,0.164835,0,0,9.6e-05,0
