"relevance","qid","tf","idf","length","bm25","pagerank","inlink","outlink","slash","urlLength","childPage"
0,"10032",0.031802,0,0.007235,0,0.5,0.46875,0,1,1,0.153846
0,"10032",0,0,0.004242,0,0.5,0.25,0,0.013136,0.25,0.461538
0,"10032",0.014134,0,0,0,0.25,1,0,0.054746,0.25,0
2,"10032",0.067138,0,0.004012,0,0,0.125,0,0,0,0.076923
0,"10032",0.279152,0,0.015094,0,0.5,0,0,0.002186,0.25,1
0,"10032",0.134276,0,0.076754,0,1,0.71875,0,0.023578,0.75,1
1,"10032",0.600707,0,0.145023,1,0.25,0.40625,0,0.027561,0.5,0
0,"10032",1,0,1,0,0,0.40625,0,0.187052,0.75,0
0,"10036",0,0,0.003078,0,0,0.051282,0,1,1,0.205128
0,"10036",0.15261,0,0.207421,0,0,0,0,0.006916,0.04918,0.307692
1,"10036",0.044177,0,0,0,0.75,0.461538,0,0,0,0.282051
1,"10036",0.461847,0,0.460841,0,0.5,0.179487,0,0.004444,0.016393,0.025641
0,"10036",0.156627,0,0.218536,0,0.75,0.512821,0,0.031348,0.04918,1
1,"10036",0.116466,0,0.069767,0,1,0.589744,0,0,0,0.025641
0,"10036",0.546185,0,0.516929,0,0.5,0.179487,0,0.003071,0.065574,0.051282
0,"10036",1,0,1,0,0.5,1,0,0.004046,0.032787,0
0,"10056",0.174455,0,0.084561,0,0,0,0,0.264231,0.473684,0.172414
2,"10056",0.143302,0,0.013133,0.778357,0.5,0.178571,0,1,0.578947,0.655172
0,"10056",0.009346,0,0.005135,0,0.5,0.133929,0,0.001745,0.052632,0
1,"10056",0.065421,0,0.007693,0.330412,1,0.25,0,0.135091,0.105263,0.034483
2,"10056",0.161994,0,0.011761,0.813411,1,0.241071,0,0.17242,1,1
0,"10056",0,0,0,0,1,0.285714,0,0,0,0
1,"10056",0.046729,0,0.004389,0,1,0.303571,0,0.252919,0.157895,0
0,"10056",0.012461,0,0.001101,0,1,1,0,0,0,0
1,"10056",0.049844,0,0.002593,0,1,0.598214,0,0,0,0
1,"10056",0.155763,0,0.008202,0,1,0.607143,0,0,0,0
0,"10056",0.003115,0,0.002288,0,0.5,0.151786,0,0,0,0.37931
